car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,log_price,price_per_km,engine_per_seat
Ford Figo,Ford,Figo,10,40000,Individual,Petrol,Manual,15.6,1196,70.0,5,130000,11.775297421715827,3.25,239.2
Maruti Swift Dzire,Maruti,Swift Dzire,9,46000,Dealer,Petrol,Manual,19.1,1197,85.8,5,370000,12.821260987319457,8.043478260869565,239.4
Maruti Baleno,Maruti,Baleno,4,25000,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000,13.25339339419516,22.8,239.4
Volkswagen Polo,Volkswagen,Polo,8,90000,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000,12.807655372286902,4.055555555555555,239.8
Hyundai i20,Hyundai,i20,9,49566,Dealer,Petrol,Manual,18.5,1197,82.85,5,280000,12.54254845357358,5.6490336117499895,239.4
Hyundai Verna,Hyundai,Verna,3,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000,14.038654909278163,89.28571428571429,316.4
Hyundai i20,Hyundai,i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,590000,13.28787951079572,53.63636363636363,239.4
Maruti Celerio,Maruti,Celerio,3,5000,Individual,Petrol,Automatic,23.1,998,67.04,5,475000,13.07107218827772,95.0,199.6
Ford Ecosport,Ford,Ecosport,4,55000,Dealer,Diesel,Manual,23.0,1498,98.96,5,685000,13.437175577097312,12.454545454545455,299.6
Hyundai Verna,Hyundai,Verna,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000,12.847929163278053,5.846153846153846,316.4
Renault KWID,Renault,KWID,3,22000,Individual,Petrol,Manual,23.01,999,67.0,5,330000,12.706850963741102,15.0,199.8
Maruti Baleno,Maruti,Baleno,3,7671,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,650000,13.384729180332174,84.73471516099596,239.4
Maruti Wagon R,Maruti,Wagon R,5,66000,Individual,Petrol,Manual,20.51,998,67.04,5,325000,12.691583538230217,4.924242424242424,199.6
Maruti Swift Dzire,Maruti,Swift Dzire,3,45156,Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000,13.369225017834633,14.173088847550714,239.4
Hyundai Venue,Hyundai,Venue,2,25000,Individual,Petrol,Manual,18.27,998,118.35,5,949000,13.76316513133229,37.96,199.6
Hyundai Verna,Hyundai,Verna,6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,660000,13.399996629152975,5.5,316.4
Maruti Swift,Maruti,Swift,7,28000,Dealer,Petrol,Manual,16.1,1197,85.0,5,435000,12.983103608918753,15.535714285714286,239.4
Hyundai i20,Hyundai,i20,8,55000,Dealer,Diesel,Manual,21.9,1396,88.76,5,385000,12.861001210669146,7.0,279.2
Hyundai Verna,Hyundai,Verna,2,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000,14.038654909278163,89.28571428571429,316.4
Maruti Wagon R,Maruti,Wagon R,12,98780,Dealer,Petrol,Manual,18.9,998,67.1,5,155000,11.951186847493476,1.5691435513261793,199.6
Maruti Swift,Maruti,Swift,6,58000,Dealer,Diesel,Manual,25.2,1248,74.0,5,415000,12.936036208848487,7.155172413793103,249.6
Maruti Alto,Maruti,Alto,10,30000,Individual,Petrol,Manual,20.92,998,67.1,5,251000,12.433212202169729,8.366666666666667,199.6
Mahindra Scorpio,Mahindra,Scorpio,5,46400,Dealer,Diesel,Manual,15.4,2179,120.0,7,1150000,13.955273369904273,24.78448275862069,311.2857142857143
Hyundai i10,Hyundai,i10,7,32111,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,310000,12.644330802262578,9.654012643642366,217.2
Datsun GO,Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,350000,12.765691290604371,10.0,171.14285714285714
Mahindra Scorpio,Mahindra,Scorpio,4,30000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1125000,13.933294482509151,37.5,285.2857142857143
Datsun GO,Datsun,GO,3,10000,Individual,Petrol,Manual,20.62,1198,67.0,7,480000,13.081543466215237,48.0,171.14285714285714
Maruti Swift Dzire,Maruti,Swift Dzire,4,25000,Individual,Diesel,Automatic,28.4,1248,74.02,5,850000,13.652992804936396,34.0,249.6
Hyundai Creta,Hyundai,Creta,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000,13.910821646859095,10.784313725490197,316.4
Maruti Swift,Maruti,Swift,3,35000,Dealer,Petrol,Manual,22.0,1197,81.8,5,575000,13.26212705890841,16.428571428571427,239.4
Maruti Swift Dzire,Maruti,Swift Dzire,9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000,12.73670383776449,6.8070793625370385,259.6
Ford Ecosport,Ford,Ecosport,3,55000,Individual,Diesel,Manual,23.0,1498,98.96,5,925000,13.73755009757506,16.818181818181817,299.6
Hyundai Grand,Hyundai,Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,82.0,5,400000,12.899222326086994,11.11111111111111,239.4
Honda City,Honda,City,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000,13.493928313146206,14.6095717884131,299.4
Maruti Swift Dzire,Maruti,Swift Dzire,7,35000,Individual,Diesel,Manual,23.4,1248,74.0,5,600000,13.304686600863562,17.142857142857142,249.6
Mahindra Scorpio,Mahindra,Scorpio,8,95000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000,13.217675375388819,5.7894736842105265,272.375
Ford Aspire,Ford,Aspire,4,36000,Dealer,Diesel,Manual,25.83,1498,99.0,5,585000,13.279368835614243,16.25,299.6
Maruti Wagon R,Maruti,Wagon R,2,50000,Individual,Petrol,Manual,21.79,998,67.05,5,411000,12.926350926565435,8.22,199.6
Maruti Swift Dzire,Maruti,Swift Dzire,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,450000,13.017005083966255,16.9811320754717,239.4
Honda CR-V,Honda,CR-V,6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,1290000,14.070153551531353,16.125,399.4
Volkswagen Polo,Volkswagen,Polo,6,46000,Dealer,Petrol,Manual,16.47,1198,74.0,5,455000,13.02805489573287,9.891304347826088,239.6
Hyundai Grand,Hyundai,Grand,2,9000,Individual,Petrol,Manual,20.7,1197,81.86,5,710000,13.47302165746721,78.88888888888889,239.4
Honda City,Honda,City,5,53000,Dealer,Petrol,Manual,16.8,1497,116.3,5,770000,13.554147092530322,14.528301886792454,299.4
Honda Amaze,Honda,Amaze,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,720000,13.487007879880162,14.4,299.6
Mahindra KUV,Mahindra,KUV,5,52000,Dealer,Diesel,Manual,25.32,1198,77.0,5,375000,12.834683971615659,7.211538461538462,239.6
Datsun GO,Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,400000,12.899222326086994,11.428571428571429,171.14285714285714
Renault Duster,Renault,Duster,6,48000,Individual,Diesel,Manual,19.87,1461,83.8,5,600000,13.304686600863562,12.5,292.2
Honda Jazz,Honda,Jazz,3,18000,Individual,Petrol,Manual,18.7,1199,88.7,5,600000,13.304686600863562,33.333333333333336,239.8
Maruti Wagon R,Maruti,Wagon R,9,57413,Individual,LPG,Manual,14.4,998,61.7,5,270000,12.506180941677357,4.702767665859649,199.6
Hyundai i20,Hyundai,i20,6,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000,13.122365377402328,16.666666666666668,239.4
Hyundai Verna,Hyundai,Verna,6,55000,Dealer,Diesel,Manual,23.9,1582,126.2,5,650000,13.384729180332174,11.818181818181818,316.4
Maruti Swift,Maruti,Swift,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,660000,13.399996629152975,66.0,239.4
Kia Seltos,Kia,Seltos,1,8000,Dealer,Petrol,Manual,16.8,1497,113.4,5,1275000,14.058457520888082,159.375,299.4
Maruti Swift,Maruti,Swift,6,65000,Dealer,Diesel,Manual,28.4,1248,74.0,5,495000,13.112315061750808,7.615384615384615,249.6
Hyundai Grand,Hyundai,Grand,5,25000,Individual,Petrol,Manual,18.9,1197,82.0,5,475000,13.07107218827772,19.0,239.4
Maruti Ciaz,Maruti,Ciaz,6,70000,Individual,Petrol,Manual,20.73,1373,91.1,5,530000,13.180634172318978,7.571428571428571,274.6
Tata Tiago,Tata,Tiago,5,9500,Individual,Petrol,Manual,23.84,1199,84.0,5,530000,13.180634172318978,55.78947368421053,239.8
Hyundai Verna,Hyundai,Verna,6,9100,Individual,Petrol,Manual,17.01,1591,121.3,5,650000,13.384729180332174,71.42857142857143,318.2
Honda City,Honda,City,11,86000,Dealer,Petrol,Manual,17.0,1497,118.0,5,335000,12.721888795877375,3.895348837209302,299.4
Audi A4,Audi,A4,8,78000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1290000,14.070153551531353,16.53846153846154,393.6
Ford Figo,Ford,Figo,10,60000,Individual,Diesel,Manual,20.0,1399,68.0,5,300000,12.611541086966115,5.0,279.8
Maruti Wagon R,Maruti,Wagon R,2,7883,Trustmark Dealer,Petrol,Automatic,21.5,1197,81.8,5,550000,13.217675375388819,69.77039198274768,239.4
Maruti Swift Dzire,Maruti,Swift Dzire,8,50205,Trustmark Dealer,Diesel,Manual,23.4,1248,74.0,5,390000,12.873904582205107,7.768150582611294,249.6
Mahindra Bolero,Mahindra,Bolero,13,220000,Individual,Diesel,Manual,13.6,2523,63.0,7,260000,12.468440756144114,1.1818181818181819,360.42857142857144
Tata Tigor,Tata,Tigor,4,58000,Dealer,Diesel,Manual,24.7,1047,69.0,5,395000,12.886643575525625,6.810344827586207,209.4
Mahindra Scorpio,Mahindra,Scorpio,9,170000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000,13.217675375388819,3.235294117647059,272.375
Maruti Swift Dzire,Maruti,Swift Dzire,3,15000,Individual,Petrol,Manual,22.0,1197,81.8,5,650000,13.384729180332174,43.333333333333336,239.4
Maruti Swift,Maruti,Swift,5,71245,Dealer,Diesel,Manual,28.4,1248,74.0,5,375000,12.834683971615659,5.263527265071233,249.6
Kia Seltos,Kia,Seltos,2,7000,Individual,Petrol,Manual,16.1,1353,138.0,5,1300000,14.077875591662238,185.71428571428572,270.6
Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,360000,12.793862088206213,18.0,199.6
Maruti Celerio,Maruti,Celerio,1,8700,Individual,Petrol,Manual,21.63,998,67.04,5,505000,13.132315688453556,58.04597701149425,199.6
Maruti Alto,Maruti,Alto,2,25000,Individual,Petrol,Manual,24.7,796,47.3,5,310000,12.644330802262578,12.4,159.2
Hyundai i20,Hyundai,i20,6,42000,Dealer,Petrol,Manual,18.6,1197,81.86,5,545000,13.208542908506082,12.976190476190476,239.4
Mahindra Bolero,Mahindra,Bolero,15,120000,Individual,Diesel,Manual,13.6,2523,63.0,7,150000,11.918397239722838,1.25,360.42857142857144
Maruti Baleno,Maruti,Baleno,3,50000,Individual,Petrol,Manual,21.4,1197,83.1,5,580000,13.270785106659046,11.6,239.4
Maruti Wagon R,Maruti,Wagon R,10,58000,Individual,Petrol,Manual,18.9,998,67.1,5,250000,12.429220196836383,4.310344827586207,199.6
Hyundai Verna,Hyundai,Verna,4,36000,Individual,Petrol,Manual,17.43,1396,105.5,5,650000,13.384729180332174,18.055555555555557,279.2
Maruti Ertiga,Maruti,Ertiga,3,30000,Individual,Diesel,Manual,25.47,1248,88.5,7,410000,12.923914877701906,13.666666666666666,178.28571428571428
Ford Ecosport,Ford,Ecosport,6,162828,Dealer,Diesel,Manual,22.77,1498,98.59,5,531000,13.182519183461475,3.2611098828211365,299.6
Ford Ecosport,Ford,Ecosport,3,7500,Individual,Diesel,Manual,23.0,1498,98.96,5,890000,13.698977865303197,118.66666666666667,299.6
Tata Safari,Tata,Safari,5,47227,Dealer,Diesel,Manual,14.0,2179,138.1,7,775000,13.560619598657233,16.410104389438246,311.2857142857143
Maruti Wagon R,Maruti,Wagon R,3,52000,Dealer,CNG,Manual,33.54,998,67.04,5,435000,12.983103608918753,8.365384615384615,199.6
Ford Figo,Ford,Figo,9,74000,Dealer,Diesel,Manual,20.0,1399,68.05,5,185000,12.128116509451258,2.5,279.8
Mahindra Bolero,Mahindra,Bolero,10,47000,Dealer,Diesel,Manual,15.96,2523,62.1,7,440000,12.994532278619134,9.361702127659575,360.42857142857144
Hyundai i20,Hyundai,i20,6,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,450000,13.017005083966255,9.0,239.4
Maruti Baleno,Maruti,Baleno,4,100000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000,13.304686600863562,6.0,239.4
Maruti Celerio,Maruti,Celerio,7,35000,Individual,Petrol,Manual,23.1,998,67.04,5,320000,12.676079399771027,9.142857142857142,199.6
Hyundai i20,Hyundai,i20,5,50000,Individual,Diesel,Manual,21.19,1396,88.73,5,700000,13.45883704259595,14.0,279.2
Ford Aspire,Ford,Aspire,3,10000,Individual,Petrol,Manual,18.16,1196,86.8,5,630000,13.353476685668044,63.0,239.2
Maruti Alto,Maruti,Alto,5,10370,Individual,Petrol,Manual,22.74,796,47.3,5,320000,12.676079399771027,30.85824493731919,159.2
Honda City,Honda,City,8,62000,Dealer,Petrol,Manual,16.8,1497,116.3,5,465000,13.049794835104816,7.5,299.4
Hyundai i20,Hyundai,i20,5,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000,13.217675375388819,13.75,239.4
Maruti Swift,Maruti,Swift,4,60000,Individual,Petrol,Manual,22.0,1197,81.8,5,445000,13.005831808336863,7.416666666666667,239.4
Tata Safari,Tata,Safari,8,67231,Dealer,Diesel,Manual,14.0,2179,138.1,7,705000,13.465954500233115,10.486234028944981,311.2857142857143
Maruti Wagon R,Maruti,Wagon R,8,64000,Dealer,CNG,Manual,33.54,998,67.04,5,270000,12.506180941677357,4.21875,199.6
Honda City,Honda,City,7,63000,Dealer,Diesel,Manual,26.0,1498,98.6,5,475000,13.07107218827772,7.5396825396825395,299.6
Honda City,Honda,City,10,55000,Dealer,Petrol,Manual,16.9,1497,100.0,5,350000,12.765691290604371,6.363636363636363,299.4
Hyundai i20,Hyundai,i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,575000,13.26212705890841,52.27272727272727,239.4
Renault KWID,Renault,KWID,4,17000,Individual,Petrol,Manual,23.01,999,67.0,5,360000,12.793862088206213,21.176470588235293,199.8
Maruti Alto,Maruti,Alto,4,25000,Individual,Petrol,Manual,24.7,796,47.3,5,275000,12.524530013005734,11.0,159.2
Datsun GO,Datsun,GO,5,33350,Individual,Petrol,Manual,19.44,1198,67.0,7,320000,12.676079399771027,9.5952023988006,171.14285714285714
Hyundai Grand,Hyundai,Grand,6,62000,Dealer,Petrol,Manual,18.9,1197,82.0,5,370000,12.821260987319457,5.967741935483871,239.4
Maruti Swift Dzire,Maruti,Swift Dzire,12,59000,Individual,Petrol,Manual,17.5,1298,85.8,5,275000,12.524530013005734,4.661016949152542,259.6
Honda City,Honda,City,7,86113,Dealer,Petrol,Manual,17.4,1497,117.3,5,550000,13.217675375388819,6.386956673208458,299.4
Maruti Swift Dzire,Maruti,Swift Dzire,3,10000,Individual,Diesel,Manual,28.4,1248,74.02,5,750000,13.527829818844937,75.0,249.6
Maruti Wagon R,Maruti,Wagon R,6,92537,Individual,Petrol,Manual,20.51,998,67.04,5,272000,12.513561021741964,2.9393647946226915,199.6
Maruti Ciaz,Maruti,Ciaz,2,27645,Dealer,Diesel,Manual,28.09,1248,88.5,5,951000,13.765270393051685,34.400434074877914,249.6
Maruti Alto,Maruti,Alto,8,46242,Individual,Petrol,Manual,20.92,998,67.1,5,280000,12.54254845357358,6.055101422948835,199.6
